model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE
"MvoLstm-run_0-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1285.4616,1.2855,0.01019073,1285.756,0.1811,33.554658769715864,5.0077,59.5323,7.7157,0.6906,3.5131,0.1555,inf,inf,69.5161,0.6655,0.9923
"MvoLstm-run_1-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1337.8182,1.3378,0.02278352,1338.1419,0.2397,33.54251103061037,4.8718,54.994,7.4158,0.6822,3.3632,0.2199,inf,inf,69.4596,0.6673,0.9654
"MvoLstm-run_2-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1410.0698,1.4101,0.01070595,1410.8586,0.2242,33.212025920538565,5.0729,57.1473,7.5596,0.692,3.3449,0.1893,inf,inf,71.0259,0.6788,1.0052
"MvoLstm-run_3-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1435.8476,1.4358,0.01008272,1436.2063,0.2637,33.18849800182197,4.7129,54.0677,7.3531,0.6672,3.1721,0.233,inf,inf,67.2168,0.6406,0.9339
"MvoLstm-run_4-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1449.0962,1.4491,0.01149225,1449.4603,0.2662,32.80276763855447,4.6842,52.7735,7.2645,0.643,3.5455,0.2514,inf,inf,66.7394,0.6332,0.9282
"MvoLstm-run_5-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1457.5633,1.4576,0.01125979,1457.9536,0.2874,33.503462234266436,4.7728,52.8993,7.2732,0.6973,3.648,0.2496,inf,inf,68.1669,0.6568,0.9458
"MvoLstm-run_6-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1448.7216,1.4487,0.00603032,1449.0975,0.1943,33.267775479352466,5.0283,59.655,7.7237,0.6847,3.4822,0.1537,inf,inf,69.2709,0.6685,0.9964
"MvoLstm-run_7-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1441.2346,1.4412,0.01018119,1441.5914,0.1503,33.546509793554826,5.2719,62.4172,7.9005,0.7571,3.9188,0.1146,inf,inf,71.6674,0.6929,1.0447
"MvoLstm-run_8-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",1458.4156,1.4584,0.01185679,1458.8018,0.2453,33.76812277422706,4.7583,54.779,7.4013,0.6818,3.3063,0.2229,inf,inf,68.3614,0.6469,0.9429
"MvoLstm-run_9-hs_[7]True-ac_eluelu-epoch_1000-pop_size_50-wep_minmax_(1.0, 0.2)",548.7166,0.5487,0.00306964,548.8131,0.0296,33.433961625089125,5.3893,70.0058,8.3669,0.7636,3.7878,0.0069,inf,inf,73.755,0.6978,1.0679
